pax	PABGS
drowsiness	TKROUS/SEU/*PBS, TKROUZ/SEU/*PBS, TKROUZ/*PBS
canister	KAPBS/TER, KAPB/STER
alignment	A/HRAOEUPLT, A/SHRAOEUPLT, A/HREUPB/PH-T, A/HRAOEUPB/*PLT
rolodex	ROE/HROE/TKEBGS
Roz	ROZ
hashed	HARBD
unscientific	UPB/SAOEUPB/TEUFBG
Theo	THAOE/KWROE
boutique	PWAOU/TAOEBG, PWOE/TAOEBG, PWOU/TAOEBG
referendum	REF/REPB/TKUPL, REF/REPBD/SKWRUPL, REFRPBD/SKWRUPL, REFR/TKUPL, REF/REPBD/UPL, REFR/EPBD/SKWRUPL, REFRPB/TKUPL, REFRPBD/UPL
courante	KOR/APBT
inquires	KW*RS
Dushanbe	TKAOU/SHAPB/PWE
revolves	RE/SROL/*FS, RE/SROFLS, RE/SROFS, RAOE/SROL/-FS
Young	KWR*UPBG, KWRO*UPBG
Waldheim	WAULD/HAOEUPL, WALD/HAOEUPL, SRAULD/HAOEUPL, SRALD/HAOEUPL
eszopiclone	EZ/PEUBG/HROEPB
sweatshirt	SWET/SHEURT
rheumatica	RAOUPL/AT/KA
apprise	A/PRAOEUZ, A/PRAOEUS, AP/PRAOEUZ
tech wrrrld	TEBG/WR-RLD
Vitalbook	SRAOEUT/A*L/PWAO*BG
interface	EUPBTD/TPAEUS, SPWR-FS, EUPBT/TPAEUS
Novocain	TPHO*EF/KAEUPB, TPHOE/SRO/KAEUPB
shivaree	SH*EUF/RAOE
absolutes	SHRAOUTS
Albuquerque	ABL/KWERBG, AL/PWA/KWER/KWAOE, AL/PWA/KER/KAOE, AL/PWU/KWER/KWAOE, AL/PWU/KER/KAOE, ABL/KERBG, ABL/KER/KE, KWERBG, ABL/KWER/KE, AL/PWU/KWER/KAOE
fortunately	TP-RPBLT, TPORPBLT, TP-RPBL, TPORPBT/HREU
question{.}	KWEFP, KWEFPLT
collected	KHREBGD, KHREBGTD
rustiness	R*US/TEU/*PBS, RUS/TEU/*PBS
et al.	ET/TAL, ET/AL
anacrusis	APB/KRAOUS/EUS
Pacinian	PABG/EUPB/KWRAPB, PA/SEUPB/KWRAPB, PA/KHEUPB/KWRAPB
controvertible	KOPB/TRO/SRERT/-BL, TRO*EFRT/-BL, KOPBT/SRERT/-BL
introject	EUPB/TRO/SKWREBGT, SPWRO/SKWREBGT
truck loaded	TRUBG/HROED/-D
plasters	PHRA*S/ERS
yearling	KWRAOER/-LG, KWRAOER/HREUPBG
they've	THEF/AE, THEF, THA*EUF, THAEU/AO*EF
Twin Cities	TWEUPB/STEUS
chateau	KHAT/TOE, KHAT/OE, SHA/TOE, KHA/TOE, SHAT/TOE
Marie	PHA/REU, PHAEUR/AO*E, PHA*R/AOE, PHA/RAOE
Cheyenne	SHAOEU/APB, SHAOEU/KWREPB, SHAOEU/KWRAPB
Chagas	KHAG/AS
afraid	A/TPRAEUD, TPAEFD, AEUFRD, TPRAEFD, TPRAED
muteness	PHAOUT/-PBS
isotypes	AOEUS/TAOEUPS
journeyed	SKWRURPB/KWREUD, SKWRURPB/EUD
they'd	THA*EUD, THED/AE, THED, THAEUD
cruzado	KRAOU/SA*/TKOE
Borchman	PWOFRPB/PHA*PB
lithograph	HR*EUT/TKPWRAF
dwelt	TKWELT, TKWEL/-D
a video	AEU/SREUD/KWROE
gauss	TKPWAUSZ
defraud	TKAOE/TPRAUD
Slovakia	SHROE/SRABG/KWRA
DEA	TK-RBGS/A*E, TKA*E
lankiness	HRA*PBG/*PBS, HRA*PBG/*EUPBS, HRA*PBG/KEU/*PBS, HRAPB/KEU/*PBS
profited	PROFT/-D
levonorgestrel	HREF/TPHOR/SKWRES/TREL, HRAOEF/TPHOR/SKWRES/TREL, HREF/OPB/OR/SKWRES/TREL
Appalachian	AP/HRAEUFP/APB, AP/HRAEUFP/KHAPB, AP/HRAEURB/KWRAPB, AP/HRAEUFP/KWRAPB, AP/HRAEUGS, AP/HRAEUFP/A*PB
misinterprets	PHEUS/EUPBT/PRETS
kneecap	TPHAOE/KAP
villagers	SREUL/APBLG/ERS, SREUL/SKWRER/-S
fetoprotein	TPAOET/PRAO*EPB, TPET/SKWRO/PRAO*EPB
util	AOU/TEUL
Iris	AO*EU/REUS
stodgy	STOPBLG/SKWREU, STOPBLG/KWREU, STOD/SKWREU
airman	AEUR/PHAPB
professor and	SKPROEFR
zoned	SO*EPB/-D, SO*EPBD
impasse	EUPL/PASZ, EUPL/PAS/AEU, EUPL/PAS
underestimation	UPBD/STEUPLT/AEUGS
fornication	TPOR/TPHEU/KAEUGS, TPORPB/KAEUGS
obey	O/PWAEU, OE/PWAEU
role	ROEL
capitate	KAP/TAEUT
Amsterdam Avenue	APL/STKER/TKAPL/AEFPB
sardonically	SAR/TKOPB/KHREU
Tancredi	TAPB/KRE/TKEU
Fra	TPRA
compassed	KPAFD
Hoyt	HOEUT
polypharmacy	POL/KWREU/TPAERPBL
indebtedness	EUPB/TKET/TK*PBS, EUPB/TKET/-PBS, EUPB/TKET/-D/TPHES, EUPB/TKET/TK-PBS
Aveiro-Ojeda	A/SRAEU/ROE/OE/HAEU/TKA
theophylline	THOEU/TPHREUPB, THRO*EU/TPHREUPB, THO*EU/TPHREUPB
sepia	SAOEP/KWRA
repellant	RE/PEL/HRAPBT
plats	PHRATS, PHRAT/-S
Algonquin	TKPWO*PBG/WEUPB, AL/TKPWOPBG/WEUPB, AL/TKPWOPB/KWEUPB
evoke	AOE/SOEBG, AOE/SROEBG
perpetuate	PER/PEFP/WAEUT, PER/PET/KWRAEUT, PER/PET/KHAEUT, PER/PET/WAEUT, PER/PE/KHAOU/AEUT, PERP/TWAEUT
inhibitions	EUPB/PWEUGS/-S, EUPB/HEU/PWEUGS/-S
triggering	TREUG/ERG, TREUG/ER/-G, TREURG/-G, TREUG/*ER/-G
promissory note	PREUPL/SOER/TPHOET
asceticism	A/SET/SEUFPL
morality	PHOR/AL/TEU, PHOR/RAL/TEU, PHRALT, PHORLT, PHO/RAL/TEU, PHORL/TEU, PHO/RAEL/TEU, PHOR/ALT
Feingold	TPAOEUPB/TKPWO*ELD
pitched	PEUFPD, PEUFP/-D
dib	TKEUB
reflecting	RAOE/TPHREBGT/-G
stowing	STOE/-G, STOEG
irregularities	EUR/REG/HRAEURTS, EUR/REG/HRARTS, EUR/REG/HRAEURT/-S
Carthaginian	KA*RT/APBLG/EUPB/KWRAPB, KAR/THAPBLG/EUPB/KWRAPB, KA*RT/SKWREUPB/KWRAPB
operant	OP/RAPBT, OP/ERPBT
digressive	TKEU/TKPWRES/*EUF, TKEU/TKPWRES/S*EUF, TKEU/TKPWRESZ/*EUF
quaking	KWAEUBG/-G
Affordable Care Act	A/TPORBL/KAEUR/ABGT, A/TPORD/-BL/KAEUR/ABGT
gunny	TKPWUPB/TPH*EU
opsonized	OPS/O*PB/AOEUZ/-D
Untermensch	UPBT/*ER/PHEPBS
engulfs	EPB/TKPWUL/-FS
pleadable	PHRAOED/-BL
Sandoval	SAPB/TKER/SRAL
calisthenic	KAL/EUS/THEPB/EUBG, KALS/THEPB/EUBG, KAL/STHEPB/EUBG
productivity	PRUBGT/T*EUF/TEU, PROE/TKUBGT/EUFT, PRO/TKUBG/T*EUFT, PRUBGT/EUFT, PRUBGT/*EUF/TEU, PRUBG/T*EUF/TEU, PROUBGT/EUFT, PROD/UBG/T*EUF/TEU, PRO/TKUBG/T*EUF/TEU, PRUBG/T*EUFT, PRO/TKUBGT/*EUF/TEU
subjected	SAUBTD, SUBT/-D
despise	TKE/SPAOEUZ, STKPAOEUZ, TKE/SPAOEUS
VIII	R-8
earthworms	*ERT/WORPLS
Guernica	TKPWAOURPB/KA
ganglionic	TKPWHRO*PBG, TKPWAPBG/KWROPB/EUBG
grads	TKPWRADZ
{^:00}	KH-PL, KHR-PL
peddler	PED/HRER, PED/HRAR
when you can't	WHUBG/-PBT
coitally	KOEUT/A*L/HREU
{^ars}	A*RS
tabernacles	TAB/ER/TPHABG/-LS, TAB/TPHABG/-LS
inhaling	EUPB/HAEUL/-G, EUPB/HAEULG
molecularly	PHOL/KHRARL, PHOL/EBG/HRARL
Layla	HRAEU/HRA
pertinence	PERT/TPHEPBS
Giles	SKWRAOEULS
hemophiliacs	TPHROEUBGS
bitten	PWEUT/*EPB, PWEUT/-PB
moneymakers	PHOPB/TPHAOE/PHAEUBG/ERS, PHUPB/PHAEUBG/ERS
polluted	PHRAOUT/-D
Celine Dion	SE/HRAOEPB/TKAOE/O*PB
microscopically	PHAOEURBG/SKOEP/KHREU, PHAOEURBG/SKOP/KHREU
Georgiana	TKPWA*/TPHA
trapping	TRAPG
Theresa	TRAOE/SA, TRAOES/KWRA, TRAOES/SA
remains	RE/PHAEUPB/-S, RE/PHAEUPBS, RAOE/PHAEUPBS
jus habendi	KWRAOUS/HA/PWEPB/TKAOEU
tooling	TAOLG, TAOL/-G
SOFT/HRUF	SOFT/HRUF
explanatory	EBGS/PHRAPB/TOER, EBGS/PHRAPB/TOR, EBGS/PHRAPB/TREU, EBGS/PHRAPB/TOEUR, SPHRAPB/TOER
depressive	TKE/PREF, TKPRES/EUF, TKPREF, TKPRES/S*EUF, TKE/PRES/S*EUF
hemolytic	HAOEPL/HRAOEBG, HAOEPL/HREUBG
pube	PAOUB
a posteriori	A/POS/TAOER/KWROE/RAOEU, A/POS/TAOER/KWROE/RAOE
Trip	TR*EUP
indemnified	EUPB/TKEPL/TPAOEUD
oliguric	OL/TKPWUR/EUBG, OEL/TKPWUR/EUBG
for integrating	TPOR/EUPBT/TKPWRAEUT/-G
engage	EPB/TKPWAEUPBL, EPB/TKPWAEUPBLG, EPB/A/TKPWAEUPBLG
Empire State Building	EPL/PAOEUR/STAEUT/PWHR-G
id est	EUD/*ES
foxglove	TPOBGS/TKPWHR*UF, TPOBGS/TKPWHROF, TPOBGS/TKPWHRO*F
fingers	TPEURPBGS, TPEUPBG/ERS, TPEUPBG/*ERS, TPEUPB/TKPWERS
nuance	TPHAOU/WAPBS, TPHAOUPBS, TPHU/APBS, TPHAOU/AUPBS, TPHAOU/APBS
disinheriting	TKEUS/EUPB/HERT/-G
coochie-coochie coo	KAOFP/AO*E/KAOFP/AO*E/KAO
{^capade}	KA/PAEUD
medina	PHED/TPHA
colicky	KOL/KEU, KOL/EUBG/KEU, KOL/HREUBG/KEU
histidine	HEUFT/TKAOEUPB
Panthenol	PA*PBT/TPHOL
Island	AO*EULD, AO*EU/HRAPBD
cities	STEUS, STEU/-S
Yerevan	KWRER/SRAUPB
squads	SKWADZ, SKWAUDZ, SKWAD/-Z
plutocracy	PHRAOU/TOBG/RAES, PHRU/TOBG/RAES
beekeeper	PWAOE/KAO*EP/*ER, PWAOE/KAOEP/ER, PWAOE/KAOEP/*ER
land ownership	HRAPBD/OEPB/*ER/SH-P
lustful	HRUFT/TPUL, HRUFT/-FL
pedestal	PED/STAL
an ant	APB/APBT
Frost	TPRO*FT
O'Donnell	O*E/TKOPBL
Mack Daddy	PHABG/TKAD/KWREU
fab	TPAB
meniscus	PHEPB/EUS/KUS
calamine	KAL/PHAOEUPB, KA*L/PHAOEUPB
jumping	SKWRUPL/-PG, SKWRUPL/P-G
repossesses	RAOE/POE/SES/-S
disburses	TKEUS/PWURS/-S
gris	TKPWRAOEPBLG, TKPWREUS
huskiest	HUS/KEU/*ES
Ayanna	A/KWRAPB/TPHA
jelly	SKWREL/KWREU, SKWREL/HREU
ponzu	POPB/S*U
tries	TRAOEUZ, TRAOEU/-S, TRAOEUS
scrunch	SKRUFRPB, SKRUFRPBLG
Thames	T*EPLS, TEPL/-S, TEPLS
glower	TKPWHROUR
{^pass}	PA*S
pre-emptive	PRE/EPL/TEUF
forty-six	TPOURT/SEUBGS
McNeil	PHABG/TPHAOEL, PH-BG/TPHAOEL
hemorrhagic	HAPL/RAPBLG/EUBG, HEPL/RAEUPBLG/EUBG, HEPL/RAPBLG/EUBG
helicobacter	HAOEL/KO/PWABGT/*ER, HEL/KO/PWABGT/*ER
prune	PRAOUPB
Apfel	AP/TPEL
arrears	A/RAOERS
humanly	HAOUPL/HREU
Judea	SKWRAOU/TKAEU/KWRA
Do Androids Dream of Electric Sheep	TKO/APB/TKROEUD/-S/TKRAOEPL/-F/HREBG/TREUBG/SHAOEP
conditions	K-PBS, K-B/-S
Sasquatch	SAS/KWAFP
tastily	TA*EUS/HREU
instructional	EUPB/STRUBGS/AL, EUPB/STRUBGS/A*L, EUPB/STRUBGS/KWRA*L
thirty-three	THEURT/THRAOE
OSHA	O/SHA, OE/SHA
or Zosyn	OR/SO*E/SEUPB
wilderness	WEUL/TK*ERPBS, WEULD/ER/*PBS, WEULD/-PBS, WEULD/*ER/-PBS, WEULD/*ERPBS, WEUL/TKERPBS, WEUL/TKER/*PBS, WEULD/ERPBS
proven it	TPROFPB
l'chaim	HR*/KHAOEUPL, HR*/HAO*EUPL
fleecy	TPHRAOES/KWREU
jot	SKWROT
New York Heart Association heart failure	TPHO*RBG/HART/SOEGS/H*F
esse	ES/SAOE
front end	TPROEPBD
nutritionist	TPHAOU/TREUGS/EUFT
fucked-up	TPUBG/-D/SKWRUP
corral	KRAL, KOR/RAL
{^-like}	SKWRAOEUBG, SKWRAO*EUBG
shied away	SHAOEUD/A/WAEU
endorph	EPB/TKO*FR
hypoglycemia	HO*EUP/TKPWHRAOEU/SAOEPL/KWRA, HAO*EG, HO*EULG, HO*EUP/TPWHRAOEU/SAOEPL/KWRA, HAOEUP/TKPWHRAOEU/SAOEPL/KWRA, HO*EUP/TKPWHRAOU/SAOEPL/KWRA
Tale of Peter Rabbit	TAEL/-F/PAOERT/RABT
gentrify	SKWRERPBT/TPAOEU
sot	SO*T
outlaw	O*UT/HRAU
Gossett	TKPWOS/SET, TKPWOS/ET
Madonna	PHA/TKOPB/TPHA
stratifies	STRAT/TPAOEU/-S
grosgrain	TKPWROS/TKPWRAEUPB
welds	WELDZ, WELD/-Z
scrutinize	SKRAOUT/TPHAOEUZ, STRAOUT/TPHAOEUZ
barbarism	PWAR/PWA/REUFPL, PWARB/REUFPL, PWAR/PWREUFPL, PWAR/PWAR/EUFPL
explodes	EBGS/PHROEDZ
0	0EU
keypad	KAOE/PAD
FCC	TP-RBGS/KR*BG
Stryker	STRAO*EUBG/*ER
tuberculosis	TU/PWERBG/HROES/EUS, TUBLS, TAOU/PWERBG/KWRU/HRO/SEUS, TKAOU/PWERBG/HROES/EUS, T*B, TAOUR/PWERBG/HROES/EUS, TAOU/PWER/KHROE/SEUS, TAOU/PWER/KU/HRO/SEUS, TU/PWERBG/HROE/SEUS, TAOU/PWER/KAOU/HROE/SEUS, TOUB/ER/KHROE/SEUS, TAOU/PWERBG/KWRAOU/HRO/SEUS, TAOU/PWERBG/SEUS, TAOU/PWERBG/KWRU/HROE/SEUS, TAOU/PWER/KU/HROE/SEUS, TAOUB/KHROEZ, TAOU/PWERBG/HROE/SEUS, TAOU/PWER/KAOU/HRO/SEUS, TPWERBG/HROE/SEUS, TAOU/PWERBG/KWRAOU/HROE/SEUS, TAOU/PWERBG/HROES/EUS, TPWERBG/HRO/SEUS, TAOU/PWERBG/HRO/SEUS
excellency	KPHREPBT/KWREU
protestant	PRO/TES/TAPBT
anthro	APB/THRO
sniveling	STPHEUFL/-G
close up	KHROUP
Templeton	TEPL/*L/TO*PB
Rwandan	WRAPB/TKAPB, RU/WAPB/TKAPB
cheapest	KHAOEP/EFT
boating	PWOET/-G
sympathizing	SEUPL/THAOEUZ/-G
blessing	PWHRES/-G, PWHREFPBG, PWHR*EFG
extramedullary	KPRA/PHED/HRAER
marver	PHAFRB/*ER, PHAR/SRER
revamping	RE/SRAPL/-PG
plateau	PHRAT/TOE, PHRAT/OE, PHRA/TOE
Dycal	TKAOEU/KAL
irritation	EUR/TAEUGS, EURT/AEUGS, EUR/REU/TAEUGS
clustered	KHR*US/ER/-D, KHRUS/TER/-D
schistosomiasis	SKEUFT/SOEPL/AOEUS/EUS
haricots verts	HAEUR/KOE/SRERT
blackmails	PWHRABG/PHAEULS
Alex	AL/EBGS, A*LGS
Wauchula	WA/KHAOU/HRA, WA/TU/HRA
Condoleezza	KOPBD/HRAOE/SA*
penetrability	PEPB/TRAEUT/-BLT, PEPB/TRABLT
trichloroethylene	TREU/KHRO*R/O*/*ET/HRAOEPB
structured	TRUBG/TAOUR/-D, STRUBG/KHURD, STRAOUFPD, STRUBGT/KHURD, STRUBG/TAOURD
wrongly	WROPBG/HREU
interred	EUPB/TERD
Euclid	AOU/KHREUD, AOUBG/HREUD
fasciculata	TPAS/KAOU/HRA/TA, TPA/SEUBG/HRA/TA
placemat	PHRAEUS/PHAT
wrongful	WROPBG/-FL, WROPBG/TPUL
swimming	SWEUPLG, SWEUPL/-G
destructible	TKE/STRUBGT/-BL, TKRUBGT/-BL
concoct	KAUPB/KOBGT, KOPB/KOBGT
{synchro^}	SEUPB/KROE
master	PH-S/TAER, PHAFT/*ER, PHAFRT, PHAS/TER, PHAFT/ER, PHA*FRT
wishes	WEURBS
sporran	SPOR/A*PB
tepentodol	TE/PEPBT/TKOL
I didn't mean to	KWREUPLT
afforded	A/TPORD/-D
peaceably	PAOES/PWHREU, PAOETS/PWHREU, PAES/PWHREU
glassier	TKPWHRAS/KWRER
skink	SK*EUPBG
jellyfish	SKWREL/KWREU/TPEURB
gadgets	TKPWAPBLGTS
exult	KPULT, EBGS/ULT
would be the	WOBT
bridged	PWREUPBLGD
dor	TKOR
magically	PHAPBLG/KHREU, PHAPBLG/EUBG/HREU
Hasselbach	HAFL/PWABG
saleswoman's	SAELS/WOPL/AES, SAEULS/WOPLS/AE
made-up	PHAED/SKWRUP
churro	KHUR/ROE
agranular	A/TKPWRAPB/HRA, A/TKPWRAPB/HRAR
interest rates	SPWR-RTS
prank	PRAPB/-BG, PRA*PBG
dear	TKAER
condemnation	KOPB/TKEPL/TPHAEUGS, KAUPB/TKEPL/TPHAEUGS
icecapades	AOEUS/KA/PAEUD/-S
nob	TPHO*B
ignorantiam	EUG/TPHO/RAPB/SHAPL, EUG/TPHOR/RAPB/SHAPL, EUG/TPHO/RAPBT/KWRAPL, EUG/TPHOR/APB/SHAPL
raping	RAEUP/-G, RAEUPG
pawpaw	PAU/PAU
apologized	A/POL/SKWRAOEUZ/-D, POLGD, POLG/-D
ionic	AOEUPB/EUBG, AO*EUPB/EUBG, AOEU/O*PB/EUBG
tapping	TAPG, TAP/-G
sincerely yours{,}	SURS
Van Zant	SRAPB/SAPBT
hydroponic	HAOEURD/POPB/EUBG, HAOEU/TKRO/POPB/EUBG
dorsi	TKOR/SEU
robbery	ROB/PWREU, ROB/REU
voices	SROEUS/-S, SROEUFS
habitual	HABT/KHUL, HA/PWEUT/KHUL, HAB/PWEUT/KHUL, HAB/EUT/WAL, HA/PWEUFP/KWRUL, HA/PWEUT/WAL, HA/PWEUFP/WAL, HA/PWEUFP/KWRAL, HABT/KWRUL, HABT/WAL, HA/PWEU/KHUL, HA/PWEUFP/KHUL, HABT/KWRAOUL, HAB/PWEUFP/KHUL, HA/PWEUT/KWRAL, HA/PWEUFP/KWRAOUL, HA/PWEUT/KWRAOUL
dialect	TKAOEU/HREPBLGT, TKAOEUL/EBGT, TKAOEU/HREBGT
Terell	TER/EL
whirlwinds	WHEURL/WEUPBDZ
manometric	PHAPB/PHET/REUBG
propulsion	PRO/PULGS
RetailMeNot	RE/TAEUL/PHAOE/TPHOT
three{,}	THRAOERBGS
I know, right?	KWRO*R
windward	WEUPBD/WARD
givings	TKPW*EUF/-GS
Aeneas	AEPB/KWRAS, AOEU/TPHAOE/AS, A/TPHAOES, A/TPHAOE/AS, A/TPHAOE/KWRAS
she felt	SHEFLT
saleswomen	SAELS/WOPL/-PB, SW*EUPL, SAELS/WEUPL, SAEULS/WEUPL
billboard	PWEUL/PWAORD, PWEUL/PWORD
uncles	UPB/K-LS, UPB/KALS, UPBG/-LS
solitaire	SOL/TA*EUR
rode	RO*ED, ROED
DigitalOcean	TK*EUL/OEGS
upmanship	UP/PHAPB/SHEUP
whitest	WHAOEUT/*ES
parentheses	PA/R*EPBT/SAOEZ, PA/REPB/THE/SAOEZ, PR*EPBT/SES, PR*EPBT/SAOES, PR*EPBT/SAOEZ, PA*RPBT/SAOEZ, PRAPB/THAOE/SAOES, PREPB/THE/SAOEZ
harmfully	HARPL/TPHREU
Islands	AO*EU/HRAPBDZ
plight	PHRAO*EUT, PHRAOEUGT
edacious	AOE/TKAEURBS, AOE/TKAEURB/OUS
dociousaliexpilisticfragicalirupes	STPRA*PBLG
sympathectomy	S*EUPL/THEBGT/PHEU
authenticated	AU/THEPBT/KAEUT/-D, AUT/EPBT/KAEUT/-D
bean	PWAEPB, PWAOEPB
apps	AP/-S, APS
poisoning	POEUS/OPBG, POEUS/O*PB/-G, POEU/SOPB/-G, POEUZ/O*PB/-G, POEU/SO*PB/-G
periodical	PER/KWROD/KAL, PAOERD/K-L, PAOER/KWROD/KAL, PAOERD/KAL
Bitcrowd	PWEUT/KRO*UD
second-degree	S-D
rudimentariness	RAOUD/-PLT/REU/*PBS, RAOU/TKEUPLT/TAEUR/*PBS, RAOUD/-PLT/TAEUR/*PBS
solitude	SOL/TAOUD
i.e.	AOEU/KWRAOE
contemporaneously	KPRAER/KWROUS/HREU, KPRAER/AEUPBS/HREU, KPRAER/AEUPBS, KOPB/TEFRP/RAEUPB/SHREU, KOPB/TEPL/PRAEUPB/SHREU
insertion	EUPB/SERGS, STPHERGS
sui juris	SWAOE/SKWRUR/REUS, SAOU/WAOE/SKWRAOUR/REUS, SAOU/WAOE/SKWRAOU/REUS, SWAOE/SKWRAOUR/REUS, SAOU/WAOEU/SKWRAOU/REUS, SAOU/WAOE/SKWRUR/REUS, SAOU/WAOEU/SKWRUR/REUS
she were	SHERP
osteon	OFT/KWROPB
one's self	WUPB/AES/SEFL
Hippocratic Oath	HEUP/KRAT/EUBG/O*ET
demilitarized	TKE/PHEUL/TAR/AOEUZ/-D
snaring	STPHAEUR/-G, STPHAEURG
transsexual	TRAPBS/SEBGS/WAL, TRAPB/SEBGS/KWRUL, TRAPB/SEBGS/KWRAOUL, TRAPBS/S-BGS/WAL
unpacking	UPB/PABG/-G
burst	PWUFRT, PWURS/-T, PW*URS
seventy-five	SEFPBT/TPAOEUF
equities	KWETS
swigs	SWEUG/-S
Racquel	RABG/EL
reinterpretation	RAOEPB/TERP/TAEUGS, RAOEPB/TERPL/TAEUGS
emerged	AOE/PHERPBLGD
status quo	STAEU/TUS/KWOE, STAT/SKWRUS/KWOE, STAEUT/TUS/KWOE, STAT/TUS/KWOE, STA/TUS/KWOE
commingling	KOPL/PHEUPBG/-LG, KPHEUPBG/-LG, KOE/PHEUPBG/-LG
Laurel	HRA*URL, HRAURL
sculptural	SKUPL/TORL, SKUL/-P/KHURL, SKUL/-P/KHUR/RAL, SKUPLT/RAL, SKAOUPLT/A*L, SKUP/KHURL, SKUP/KHUR/RAL
chunky	KHUPB/KEU, KH*UPBG/KEU
forge	TPORPBLG
transform	TRAPBS/TPORPL, TR-FRPL, TRAPBZ/PHORPL
firings	TPAOEUR/-GS
angelically	APB/SKWREL/KHREU
jive	SKWRAO*EUF, SKWRAOEUF
surrenders	SREPBD/*ER/-S, SUR/EPBD/*ERS, SR*EPBD/ERS, SUR/REPBD/ERS, SU/REPBD/ERS
procedure	PRO/SAOE/SKWRUR, PRAOED/UR, PRAOUD/AOER, PRAOED/KWRUR, PRAOED/AOUR, PRAOEPBLG, PROED/UR, PRO/SAOED/KWRUR, PRO/SAOEPBLG/*ER, PRO/SAOEPBLG/KWRUR, PRAOURD, PROE/SAOED/AOUR, PROED/AOUR, PRAOERPBLG, PRAOERD
mRNA	PH*/R*P/TPH*P/A*P, PH*/R*PB
{^case}	KA*EUS
Cambrian	KAPL/PWRAPB, KAPL/PWRAOE/KWRAPB
stabber	STAB/ER
bereft	PWE/REFT
cooperating	KAOPT/-G
rearranges	RAOE/ARPBGS
Lisa	HRAOE/SA, HR*EU/SA
{gastro^}	TKPWAFT/RO, TKPWAS/TRO
would find	WOUFPBD
sides	SAOEUSD, SAOEUDZ, SAOEUD/-Z
lurch	HR*URPBLG, HRUFRPB
garnet	TKPWAR/TPHET, TKPWARPB/ET
deterioration	TKE/TAOER/KWROE/RAEUGS, TKAOE/TAOER/AEUGS, TKE/TAOER/KWRO/RAEUGS, TKE/TAOER/RAEUGS, TKE/TER/KWRORGS, TKE/TAOER/KWRAEUGS, TE/TAOER/RAEUGS, TKE/TAOER/KWROR/RAEUGS, TAOER/RAEUGS
4th	4*9
phosphoglycerate	TPOS/TPO/TKPWHREUS/RAEUT
Gram negatives	TKPWRA*EFS
Dear Veronica	TKAER/SRERPB/KA
Berkeley	PWERBG/HREU, PWERBG/TPHREUPL
Guerrero	TKPWAOUR/*ER/RO, TKPWAOUR/*ER/SKWRO
all, "{-|}{^}	AUL/AUL
polysyllabic	POL/KWREU/SEUL/AB/EUBG
herpes	H*ERPS, HER/PAOEZ, HERP/ES, HEP/ES, HERP/AOES, HERP/KWREU/-S, HERPS, HAOERPS, HERP, HERP/EUS
docetaxel	TKOES/TABGS/*L, TKOBG/HREU/TABGS/*L
entrance	EPB/TRABS, SPWRAPBS, EPB/TRAPBS, EPB/TRAPBGS
Gallo	TKPWAL/HROE
valued	SRAL/AOUD, SRAOULD, SRAL/-D
sporocyte	SPO*R/SAO*EUT
commingle	KOE/PHEUPBG/*L, KOPL/PHEUPBG/-L, KOE/PHEUPBG/-L, KPHEUPBG/-L
miscellaneous	SEUS/HRAEUPB/KWRUS, PHEUS/HRAEUPBS, PHEUS/HRAEUPB/KWRUS, PHEUFBG, PHEUS/HRAEUPB/OUS, PH*EUFBG, PHEUS/HRAEUPB/KWROUS
multi-user	PHUL/TEU/KWRAOUZ/ER, PHULT/KWRAOUZ/ER
deservedly	TKE/SER/*F/TKHREU, TKE/S*EFRB/-D/HREU, TKE/SEFRB/TKHREU, TKE/S*EFRB/TKHREU
feist	TPAOEUFT
ouch	OUFP
Mahabharata	PHA/HA/PWA/RA/TA
gist	SKWREUFT, SKWR*EUS
scuttled	SKUT/-LD
demographically	TKEPL/TKPWRAF/KHREU, TKEPL/TKPWRAFBG/HREU, TKEPL/TKPWRAFBG/KHREU
escapable	AOE/SKAEUPBL, SKAEBL, ES/KAEUP/-BL, AOE/SKAEUP/-BL, SKAEPBL, ES/KAEUPBL
apprentice	A/PEPBT/EUS, AP/PREPB/TEUS, A/PREPB/TEUS, A/PREPBT/EUS, AP/PREPBT/EUS, PREPBT/EUS
carried	KAEUR/EUD, KAEUR/REU/-D, KAEUR/KWREUD, KAERD
random	TKPRO*PL, TKRO*PL, RAPBD/TKOPL, RAPBD/OPL, TKROPL, RAPB/TKOPL, RAPBD/O*PL
Karen	KAR/*EPB, KAEURPB
imipenem	EUPL/PEPB/EPL, EUPL/PEPB/*EPL, EUB/PEPB/EPL
reputable	REPT/-BL, RE/PAOUT/-BL, REP/KWRUT/-BL, REP/AOUT/ABL, R*EPT/-BL, REP/KWRAOUT/-BL
formula{,}	TPORPL/HRARBGS
stringers	STREUPBG/ERS
median is	PHAOED/SKWRAPB
tetany	TET/TPHEU
emetogenicity	EPL/ET/SKWRO/SKWREPB/EUS/TEU, AOE/PHET/SKWRO/SKWREPB/EUS/TEU
vanc	SRA*PBG
marches	PHAFRPB/-S, PHAR/-FPS, PHAR/-FP/-S, PHAR/KHES
captivation	KAP/TEU/SRAEUGS, KAPT/SRAEUGS
Kelley	KEL/KWRAOE
narcolepsy	PHARBG/HREP/SEU, TPHARBG/HREP/SEU
seek	SAOEBG
dilate	TKHRAEUT, TKAOEULT, TKEU/HRAEUT, TKAOEU/HRAEUT
